date,timestamp,count,alert
2025-12-05,0.0,236.809,
2025-12-05,0.417,236.702,
2025-12-05,0.833,0.000,camera_frozen
2025-12-05,1.25,0.000,camera_frozen
2025-12-05,1.667,237.786,
2025-12-05,2.083,0.000,camera_frozen
2025-12-05,2.5,0.000,camera_frozen
2025-12-05,2.917,0.000,camera_frozen
2025-12-05,3.333,0.000,camera_frozen
2025-12-05,3.75,0.000,camera_frozen
2025-12-05,4.167,0.000,camera_frozen
2025-12-05,4.583,237.050,
2025-12-05,5.0,234.443,
2025-12-05,5.417,234.259,
2025-12-05,5.833,0.000,camera_frozen
