date,timestamp,count,alert
2025-12-05,0.0,444.048,
2025-12-05,0.333,445.534,
2025-12-05,0.667,446.312,
2025-12-05,1.0,441.133,
2025-12-05,1.333,434.278,
2025-12-05,1.667,427.517,
2025-12-05,2.0,430.329,
2025-12-05,2.333,426.856,
2025-12-05,2.667,418.111,
2025-12-05,3.0,410.738,
2025-12-05,3.333,412.529,
2025-12-05,3.667,422.303,
2025-12-05,4.0,435.586,
2025-12-05,4.333,447.899,
2025-12-05,4.667,444.798,
2025-12-05,5.0,439.399,
2025-12-05,5.333,436.808,
2025-12-05,5.667,444.754,
2025-12-05,6.0,448.911,
2025-12-05,6.333,445.186,
2025-12-05,6.667,444.436,
2025-12-05,7.0,434.651,
2025-12-05,7.333,425.373,
2025-12-05,7.667,421.305,
2025-12-05,8.0,430.147,
